Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Kilómetros,Título,Precio,Moneda,Tipo de vendedor
Peugeot,2008,2022.0,1.6 THP SPORT TIPTRONIC,Blanco,Nafta,5.0,Automática,1,17219 km,Peugeot 2008 1.6 THP SPORT TIPTRONIC,20985.65,U$S,tienda
Peugeot,2008,2016.0,1.6 FELINE MT 4x2,Plateado,Nafta,5.0,Manual,1,51000 km,Peugeot 2008 1.6 FELINE MT 4x2,12813.4,U$S,tienda
Peugeot,2008,2022.0,1.6 Féline Mt,Gris,Nafta,5.0,Manual,1,21271 km,Peugeot 2008 1.6 Féline Mt,20574.16,U$S,tienda
Peugeot,2008,2018.0,1.6 THP SPORT MT,Blanco,Nafta,5.0,Manual,1,47300 km,Peugeot 2008 1.6 THP SPORT MT,15148.33,U$S,tienda
Peugeot,2008,2021.0,1.6 In Concert,Rojo,Nafta,5.0,Manual,1.6,44000 km,Peugeot 2008 1.6 In Concert,18950.0,U$S,concesionaria
Peugeot,2008,2024.0,1.6 Feline Tip,Plateado,Nafta,5.0,Automática,1.6,0 km,Peugeot 2008 1.6 Feline Tip,15311.0,U$S,concesionaria
Peugeot,2008,2016.0,1.6 ACTIVE MT 4x2,Gris,Nafta,5.0,Manual,1,55598 km,Peugeot 2008 1.6 ACTIVE MT 4x2,11799.04,U$S,tienda
Peugeot,2008,2016.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,95000 km,Peugeot 2008 1.6 Allure,13500.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Féline Mt,Plateado,Nafta,5.0,Manual,1,76085 km,Peugeot 2008 1.6 Féline Mt,12861.24,U$S,tienda
Peugeot,2008,2019.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,67000 km,Peugeot 2008 1.6 Allure,15789.47,U$S,concesionaria
Peugeot,2008,2019.0,1.6 Feline Tiptronic,Gris,Nafta,5.0,Automática,1,69784 km,Peugeot 2008 1.6 Feline Tiptronic,14937.8,U$S,tienda
Peugeot,2008,2021.0,1.6 Allure,Marrón,Nafta,5.0,Manual,1.6,17500 km,Peugeot 2008 1.6 Allure,18947.37,U$S,tienda
Peugeot,2008,2018.0,1.6 Allure Mt,Blanco,Nafta,5.0,Manual,1,97442 km,Peugeot 2008 1.6 Allure Mt,10832.54,U$S,tienda
Peugeot,2008,2022.0,1.6 Feline,Gris,Nafta,5.0,Manual,INYECCION MULTI PUNTO,69000 km,Peugeot 2008 1.6 Feline,20497.61,U$S,tienda
Peugeot,2008,2018.0,1.6 Allure,,Nafta,5.0,Manual,1.6,94000 km,Peugeot 2008 1.6 Allure,12430.53,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Active,Blanco,Nafta,5.0,Manual,1.6,88000 km,Peugeot 2008 1.6 Active,13732.06,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,8000 km,Peugeot 2008 1.6 Thp Sport Tip,22000.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Thp Sport,Gris,Nafta,5.0,Manual,1.6,129800 km,Peugeot 2008 1.6 Thp Sport,12500.0,U$S,concesionaria
Peugeot,2008,2018.0,1.6 THP SPORT MT,Blanco,Nafta,5.0,Manual,1,14380 km,Peugeot 2008 1.6 THP SPORT MT,16679.43,U$S,tienda
Peugeot,2008,2021.0,1.6 Feline,Plateado,Nafta,5.0,Manual,1.6,13000 km,Peugeot 2008 1.6 Feline,19800.0,U$S,concesionaria
Peugeot,2008,2019.0,1.6 Thp Sport,Marrón,Nafta,5.0,Manual,1.6,25000 km,Peugeot 2008 1.6 Thp Sport,17703.25,U$S,tienda
Peugeot,2008,2017.0,1.6 Allure Tip,Gris,Nafta,5.0,Automática,1.6,50520 km,Peugeot 2008 1.6 Allure Tip,13200.0,U$S,concesionaria
Peugeot,2008,2020.0,1.6 ALLURE L/19 MT,Blanco,Nafta,5.0,Manual,1,16835 km,Peugeot 2008 1.6 ALLURE L/19 MT,17502.39,U$S,tienda
Peugeot,2008,2016.0,1.6 Allure Tip,Marrón,Nafta,5.0,Automática,1.6,80100 km,Peugeot 2008 1.6 Allure Tip,12700.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,78000 km,Peugeot 2008 1.6 Thp Sport,13000.0,U$S,concesionaria
Peugeot,2008,2019.0,1.6 Thp Sport,Plateado,Nafta,5.0,Manual,1.6,63200 km,Peugeot 2008 1.6 Thp Sport,16555.02,U$S,tienda
Peugeot,2008,2020.0,1.6 In Concert Tiptronic,Plateado,Nafta,5.0,Automática,1.6,78406 km,Peugeot 2008 1.6 In Concert Tiptronic,16500.0,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,8910 km,Peugeot 2008 1.6 Thp Sport Tip,26000.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,50000 km,Peugeot 2008 1.6 Feline,15023.92,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,79000 km,Peugeot 2008 1.6 Allure,13205.74,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,87000 km,Peugeot 2008 1.6 Allure,12440.19,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Feline am20,Blanco,Nafta,5.0,Manual,1.6,56000 km,Peugeot 2008 1.6 Feline am20,19999.04,U$S,concesionaria
Peugeot,2008,2016.0,1.6 Feline,Gris oscuro,Nafta/GNC,5.0,Manual,1.6,102000 km,Peugeot 2008 1.6 Feline,12926.32,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Allure am20,Gris,Nafta,5.0,Manual,1.6,43000 km,Peugeot 2008 1.6 Allure am20,17400.0,U$S,particular
Peugeot,2008,2020.0,1.6 Thp Sport Tip,Marrón,Nafta,5.0,Automática,1.6,45352 km,Peugeot 2008 1.6 Thp Sport Tip,18500.0,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,6000 km,Peugeot 2008 1.6 Thp Sport Tip,22500.0,U$S,concesionaria
Peugeot,2008,2019.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,48000 km,Peugeot 2008 1.6 Feline,14300.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,136000 km,Peugeot 2008 1.6 Thp Sport,11961.72,U$S,concesionaria
Peugeot,2008,2016.0,1.6 Thp Sport,Negro,Nafta,5.0,Manual,1.6,99000 km,Peugeot 2008 1.6 Thp Sport,10999.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,100000 km,Peugeot 2008 1.6 Feline,13301.44,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Feline,Gris,Nafta,5.0,Manual,1.6,51780 km,Peugeot 2008 1.6 Feline,17500.0,U$S,concesionaria
