Marca,Modelo,Año,Color,Tipo de combustible,Transmisión,Motor,Kilómetros,Precio,Tipo de vendedor,Edad,Km promedio por año,Cilindros,Turbo
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,50000,18842.11,concesionaria,2.0,25000.0,1,0
Peugeot,2008,2017.0,gris,Nafta,Manual,1.6,70200,13673.58,concesionaria,7.0,10028.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Manual,1.6,90000,13000.0,concesionaria,7.0,12857.0,1,0
Peugeot,2008,2022.0,rojo,Nafta,Automática,1.6,7000,26315.68,concesionaria,2.0,3500.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,100000,16736.84,concesionaria,6.0,16666.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,98518,16315.79,concesionaria,6.0,16419.0,1,0
Peugeot,2008,2020.0,blanco,Nafta,Automática,1.6,72100,20210.53,concesionaria,4.0,18025.0,1,0
Peugeot,2008,2020.0,gris,Nafta,Manual,1.6,35000,18421.05,concesionaria,4.0,8750.0,1,0
Peugeot,2008,2019.0,gris,Nafta,Manual,1.6,48000,17368.42,concesionaria,5.0,9600.0,1,0
Peugeot,2008,2019.0,blanco,Nafta,Manual,1.6,73000,18500.0,concesionaria,5.0,14600.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,50000,15578.95,concesionaria,6.0,8333.0,1,0
